	price	standart_params (WxHxD)	name	link
34	33 380 руб.	1000 x 2200 x 600	Шкаф-купе с фотопечатью Млайн 1 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-s-fotopechatyu-mebelayn-1/
35	27 102 руб.	1400 x 2400 x 600	Угловой шкаф У-2 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/uglovoy-shkaf-u-2/
36	28 870 руб.	1600 x 2200 x 600	Шкаф купе АМ-1 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-am-1-bms/
37	17 480 руб.	1200 x 2200 x 600	Шкаф-купе Армир-2 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-armir-2-bms/
38	24 220 руб.	1500 x 2200 x 600	Шкаф-купе Милан-22 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-milan-22-ramka-mdf-bms/
39	20 630 руб.	1200 x 2200 x 600	Шкаф-купе Армарио-1 2-х дверный BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-armario-1-2-kh-dvernyy/
40	16 720 руб.	1200 x 2200 x 600	Шкаф-купе ГС-1 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-gs-1-bms/
41	53 400 руб.	1400 x 2200 x 600	Шкаф-купе Марвин 6 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-marvin-6-bms/
42	29 170 руб.	1200 x 2400 x 600	Шкаф-купе Лотос BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-lotos-bms/
43	26 560 руб.	1200 x 2400 x 600	Шкаф-купе Слим BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-slim-bms/
44	25 190 руб.	1700 x 2200 x 600	Шкаф-купе EL-07 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-el-07-bms/
45	83 800 руб.	1500 x 2300 x 600	Шкаф-купе Розали 96.15 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-rozali-96-15/
46	31 700 руб.	1300 x 2400 x 600	Шкаф-купе Флора BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-flora-bms/
47	20 930 руб.	1200 x 2200 x 600	Шкаф-купе Топ-лайн 1 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-top-layn-1-bms/
48	48 200 руб.	1600 x 2305 x 655	Шкаф-купе Изабель ИЗ-06 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-izabel-iz-06-bms/
49	27 168 руб.	1700 x 2500 x 600	Шкаф купе с антресолью Лайт 13 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-s-antresolyu-layt-13-bms/
50	31 220 руб.	1600 x 2200 x 600	Шкаф-купе Валерия П BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-valeriya-p-bms/
51	58 727 руб.	1500 x 2400 x 600	Шкаф-купе угловой Флэш BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-uglovoy-flesh-bms/
52	27 751 руб.	1400 x 2200 x 600	Шкаф-купе Артвин BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-artvin-bms/
53	26 261 руб.	1600 x 2220 x 600	Шкаф-купе Соня Премиум СО-12 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-sonya-premium-so-12-bms/
54	36 464 руб.	1500 x 2200 x 600	Шкаф-купе МДФ Эл 7 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-mdf-el-7-bms/
55	37 190 руб.	1500 x 2200 x 600	Шкаф-купе К228-3 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-k228-3-bms/
56	55 880 руб.	1635 x 2200 x 680	Шкаф-купе Ассоль АС-20 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-assol-as-20-bms/
57	28 384 руб.	1000 x 2200 x 600	Шкаф-купе Г-образный Полина К1 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-g-obraznyy-polina-k1-bms/
58	46 100 руб.	1600 x 2400 x 600	Шкаф-купе Миа BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-mia-bms/
59	41 210 руб.	1000 x 2200 x 600	Шкаф-купе Александр-1 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-aleksandr-1-bms/
60	44 620 руб.	1200 x 2200 x 600	Шкаф-купе Нуво 4 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-nuvo-4-bms/
61	49 230 руб.	1200 x 2200 x 600	Шкаф-купе Нуво 8 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-nuvo-8-bms/
62	47 550 руб.	1200 x 2200 x 600	Шкаф-купе Нуво 3 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-nuvo-3-bms/
63	41 370 руб.	1200 x 2200 x 600	Шкаф-купе Нуво 1 BMS	https://saratov.bestmebelshop.ru/catalog/shkafy-kupe/shkaf-kupe-nuvo-1-bms/
